12/13/2018,20:20,LosAngelesChargers,KansasCityChiefs
12/15/2018,16:30,ClevelandBrowns,DenverBroncos
12/15/2018,16:30,HoustonTexans,NewYorkJets
12/16/2018,13:00,ArizonaCardinals,AtlantaFalcons
12/16/2018,13:00,DallasCowboys,IndianapolisColts
12/16/2018,13:00,DetroitLions,BuffaloBills
12/16/2018,13:00,GreenBayPackers,ChicagoBears
12/16/2018,13:00,MiamiDolphins,MinnesotaVikings
12/16/2018,13:00,OaklandRaiders,CincinnatiBengals
12/16/2018,13:00,TampaBayBuccaneers,BaltimoreRavens
12/16/2018,13:00,TennesseeTitans,NewYorkGiants
12/16/2018,13:00,WashingtonRedskins,JacksonvilleJaguars
12/16/2018,16:05,SeattleSeahawks,SanFrancisco49ers
12/16/2018,16:25,NewEnglandPatriots,PittsburghSteelers
12/16/2018,20:20,PhiladelphiaEagles,LosAngelesRams
12/17/2018,20:15,NewOrleansSaints,CarolinaPanthers
12/23/2018,13:00,AtlantaFalcons,CarolinaPanthers
12/23/2018,13:00,BuffaloBills,NewEnglandPatriots
12/23/2018,13:00,CincinnatiBengals,ClevelandBrowns
12/23/2018,13:00,GreenBayPackers,NewYorkJets
12/23/2018,13:00,HoustonTexans,PhiladelphiaEagles
12/23/2018,13:00,JacksonvilleJaguars,MiamiDolphins
12/23/2018,13:00,MinnesotaVikings,DetroitLions
12/23/2018,13:00,NewYorkGiants,IndianapolisColts
12/23/2018,13:00,TampaBayBuccaneers,DallasCowboys
12/23/2018,13:00,WashingtonRedskins,TennesseeTitans
12/23/2018,16:05,BaltimoreRavens,LosAngelesChargers
12/23/2018,16:05,ChicagoBears,SanFrancisco49ers
12/23/2018,16:05,LosAngelesRams,ArizonaCardinals
12/23/2018,16:25,PittsburghSteelers,NewOrleansSaints
12/23/2018,20:20,KansasCityChiefs,SeattleSeahawks
12/24/2018,20:15,DenverBroncos,OaklandRaiders
12/31/2018,13:00,AtlantaFalcons,TampaBayBuccaneers
12/31/2018,13:00,CarolinaPanthers,NewOrleansSaints
12/31/2018,13:00,ChicagoBears,MinnesotaVikings
12/31/2018,13:00,CincinnatiBengals,PittsburghSteelers
12/31/2018,13:00,ClevelandBrowns,BaltimoreRavens
12/31/2018,13:00,DallasCowboys,NewYorkGiants
12/31/2018,13:00,DetroitLions,GreenBayPackers
12/31/2018,13:00,IndianapolisColts,TennesseeTitans
12/31/2018,13:00,JacksonvilleJaguars,HoustonTexans
12/31/2018,13:00,MiamiDolphins,BuffaloBills
12/31/2018,13:00,NewYorkJets,NewEnglandPatriots
12/31/2018,13:00,OaklandRaiders,KansasCityChiefs
12/31/2018,13:00,PhiladelphiaEagles,WashingtonRedskins
12/31/2018,16:25,ArizonaCardinals,SeattleSeahawks
12/31/2018,16:25,LosAngelesChargers,DenverBroncos
12/31/2018,16:25,SanFrancisco49ers,LosAngelesRams
